record_no,stratum,narrative,case_categorization,severity,impact_type,work_process,causal_density,causal_matches,token_count,existing_entities,caused_by_1_cause,caused_by_1_evidence,caused_by_1_confidence,caused_by_2_cause,caused_by_2_evidence,caused_by_2_confidence,contributed_to_1_factor,contributed_to_1_evidence,contributed_to_1_confidence,contributed_to_2_factor,contributed_to_2_evidence,contributed_to_2_confidence,led_to_1_event,led_to_1_outcome,led_to_1_evidence,led_to_1_confidence,led_to_2_event,led_to_2_outcome,led_to_2_evidence,led_to_2_confidence,led_to_3_event,led_to_3_outcome,led_to_3_evidence,led_to_3_confidence,annotator_notes,annotator_id
677880,fire_explosion,Welding gas hose was caught on fire due to the overhead splash that fell on the welding hose._x000D_ Fire has started due to arc air sparks which has caused the rupture of a welding hose._x000D_ The Fire was extinguished by the CO2 gas in the hose after the rupture of the hose.,"Fire & Explosion - Flammable solids, liquids and gases",Financial Impact - 2. Minor impact on entity/asset figures,Financial Impact,Yards,0.09615384615384616,5.0,52.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Tianjin"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""China"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""NOVARCTIC SNC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""Welding gas hose"", ""relation"": ""INVOLVED""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""welding hose"", ""relation"": ""INVOLVED""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
671236,fire_explosion,"Press 4549 heating elements caused a minor fire, which probably happened due to short circuiting of wires for the heating element. Fire extinguisher was used by one of the press operator to put out the fire.",Fire & Explosion - Explosives / potential explosives,Financial Impact - 2. Minor impact on entity/asset figures,Financial Impact,Other Manufacturing Activities,0.05555555555555555,2.0,36.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Gears Manufacturing"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Houston"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""USA"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""North America"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""TECHNIPFMC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Explosives / potential explosives"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""Press"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""fire extinguisher"", ""relation"": ""INVOLVED""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
726597,fire_explosion,"Whilst conducting hot work activities, sparks contacted a region of an LPG lead which was leaking.  The leak ignited resulting in a small fire, which caused damage to leads and external casing of a power board.","Fire & Explosion - Flammable solids, liquids and gases",Financial Impact - 2. Minor impact on entity/asset figures,Financial Impact,Workshop Activities,0.05555555555555555,2.0,36.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Henderson Service Base"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Henderson"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Australia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""CHEVRON AUSTRALIA PTY LTD"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""LPG lead"", ""relation"": ""INVOLVED""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""power board"", ""relation"": ""INVOLVED""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
530280,fire_explosion,"On 14 March 2017 at 06:11, local time, an automatic fire alarm system was triggered in warehouse 1-7 of the North camp. OMC dispatcher notified the emergency response service and the management of the organization. The triggering was caused by smoke as a result of an air curtain malfunction in the corridor of the warehouse.",Fire & Explosion - Uncontrolled chemical or physical reaction,Fire/Explosion - 1. Negligible,Fire/Explosion,Construction - Installation,0.05454545454545454,3.0,55.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sabetta Site"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Sabetta"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Russia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Uncontrolled chemical or physical reaction"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""automatic fire alarm system"", ""relation"": ""INVOLVED""}, {""entity_type"": ""LOCATION"", ""value"": ""warehouse K-7"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""North Camp"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""OMC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""emergency response service"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""management of the organization"", ""relation"": ""REPORTED_BY""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
520513,fire_explosion,"On 20.12.2016 at 03:00 hours at the plant construction site Train 1 area, the industrial electric extension cord short circuit occurred due to protective armor damage because of low ambient temperature._x000D_ There were no injuries. There was no material loss.",Fire & Explosion - Explosives / potential explosives,Fire/Explosion - 1. Negligible,Fire/Explosion,Construction - Installation,0.05,2.0,40.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sabetta Site"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Sabetta"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Russia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Explosives / potential explosives"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""LOCATION"", ""value"": ""Train 1 area"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""industrial electric extension cord"", ""relation"": ""INVOLVED""}, {""entity_type"": ""INJURY_TYPE"", ""value"": ""protective armor damage"", ""relation"": ""RESULTED_IN""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
556470,fire_explosion,On 10/10/2017 at 17:22 fire alarm was triggered in Subcontractor’s office. It was caused by some smoke generated due to violation of instructions on microwave use. During ivestigation it was found out that the lead engineer of Procurement department was warming some food in a microwave oven and put it on a sheet of paper. As a result paper smoldered and the room got filled with smoke which triggered the alarm at 17:22. Microwave oven was immediatelly unplugged and room was aired.,Fire & Explosion - Uncontrolled chemical or physical reaction,Fire/Explosion - 1. Negligible,Fire/Explosion,Site Subcontracting,0.04878048780487805,4.0,82.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sabetta Site"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Sabetta"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Russia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Uncontrolled chemical or physical reaction"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""Procurement department"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""microwave oven"", ""relation"": ""INVOLVED""}, {""entity_type"": ""LOCATION"", ""value"": ""room"", ""relation"": ""OCCURRED_AT""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
585026,fire_explosion,"On 02 May 2018 at 23:57, local time, the automatic fire alarm system triggered in check point of North Camp. The OMC dispatcher notified the emergency response service and the management of the organization. The trigger was caused by melting of starter isolation.",Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Construction - Installation,0.046511627906976744,2.0,43.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sabetta Site"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Sabetta"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Russia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Uncontrolled chemical or physical reaction"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""automatic fire alarm system"", ""relation"": ""INVOLVED""}, {""entity_type"": ""LOCATION"", ""value"": ""check point"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""North Camp"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""OMC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""emergency response service"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""management of the organization"", ""relation"": ""REPORTED_BY""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
537068,fire_explosion,"On May 7, 2017 at 09:27, local time, an automatic fire alarm system triggered in laundry room 1-6 of the_x000D_ Northern shift camp. The OMC dispatcher notified the emergency response service and the management of_x000D_ the organization. The triggering was caused by the ignition of the drive belts of the ironing equipment. The_x000D_ cause of the fire was the sticking of the contacts of the emergency shutdown control relay.",Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Construction - Installation,0.043478260869565216,3.0,69.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sabetta Site"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Sabetta"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Russia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Uncontrolled chemical or physical reaction"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""LOCATION"", ""value"": ""laundry room 1-6"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Northern shift camp"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""OMC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""emergency response service"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""iron equipment"", ""relation"": ""INVOLVED""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
507890,fire_explosion,"During welding on 3"" spool support at 40 mtr elevation of Reformer – 1, the welding spatters fell on greasy (oil soaked) blanket which is kept at 38 elevation on scaffold platform. Due to this minor smoke and fire caught on blanket. The fire observed & noticed by fire watcher and inform to welder, meanwhile fire extinguished by nearby work force._x000D_ _x000D_ No injury/ property damage caused due to the incident.","Fire & Explosion - Flammable solids, liquids and gases",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Site Mechanical And Piping,0.04225352112676056,3.0,71.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Cochin"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""India"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""India"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""AIR PRODUCTS"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""LOCATION"", ""value"": ""Reformer \u2013 1"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""scaffold platform"", ""relation"": ""OCCURRED_AT""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
564949,fire_explosion,"On December 07, 2017 at 13:20, local time, an automatic fire alarm system triggered in the warehouse (1-7), electric switchboard of the North camp. The OMC dispatcher notified the emergency response service and the management of the organization. Melting of the wire was caused by heating of the connection due to poor sealing between cable terminal and the breaker._x000D_ According to the schedule maintenance of the equipment was carried out on 24.09.2017.",Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Construction - Installation,0.041666666666666664,3.0,72.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sabetta Site"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Sabetta"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Russia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Uncontrolled chemical or physical reaction"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""automatic fire alarm system"", ""relation"": ""INVOLVED""}, {""entity_type"": ""LOCATION"", ""value"": ""warehouse"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""1-7"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""electric switchboard"", ""relation"": ""INVOLVED""}, {""entity_type"": ""LOCATION"", ""value"": ""North Camp"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""OMC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""emergency response service"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""management of the organization"", ""relation"": ""REPORTED_BY""}]",,,,,,,,,,,,,,,,,,,,,,,,,,
