is_match,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,num_mismatch,risk_score
,ORGANIZATION,TECHNIPFMC PLC,TechnipFMC UK,0.8696,,,1.0,False,8.528
,ORGANIZATION,TECHNIPFMC PLC,Technip PMC,0.8571,,,1.0,False,8.403
,ORGANIZATION,TECHNIPFMC PLC,TECHNIPFMC,1.0,,,1.0,False,8.376
,ORGANIZATION,TECHNIPFMC PLC,TECHNIP FMC,0.9524,,,1.0,False,8.364
,ORGANIZATION,TECHNIPFMC PLC,TechnpFMC,0.9474,,,1.0,False,8.358
,ORGANIZATION,TECHNIPFMC,TechnipFMC UK,0.8696,,,1.0,False,8.204
,LOCATION,Global 1201,Global 1200,0.9091,1201,1200,0.0,True,8.151
,ORGANIZATION,TECHNIPFMC,Technip PMC,0.8571,,,1.0,False,8.079
,ORGANIZATION,TECHNIPFMC,TECHNIP FMC,0.9524,,,1.0,False,8.06
,ORGANIZATION,TECHNIPFMC,TechnpFMC,0.9474,,,1.0,False,8.034
,ROOT_CAUSE_CATEGORY,"Falls, slips and trips on same level (without potential to fall to lower level)","Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",0.8927,,,1.0,False,8.002
,ROOT_CAUSE_CATEGORY,Uncontrolled moving objects/ parts (struck by other than machine parts and dropped objects),Mechanical - Uncontrolled moving objects/ parts (struck by other than machine parts and dropped objects),0.9333,,,1.0,False,7.961
,ORGANIZATION,TECHNIPFMC PLC,TFMC,1.0,,,1.0,False,7.957
,ROOT_CAUSE_CATEGORY,Hazardous liquids (exposure to / spill / loss of containment /pollution),Substances  - Hazardous liquids (exposure to / spill / loss of containment /pollution),0.9114,,,1.0,False,7.831
,ORGANIZATION,FLEXI FRANCE,Flexi-France,0.9167,,,1.0,False,7.747
,ORGANIZATION,TECHNIPFMC,TFMC,1.0,,,1.0,False,7.677
,ORGANIZATION,FLEXI FRANCE,FLEXI FRANCE SAS,0.8571,,,1.0,False,7.495
,EQUIPMENT,forklift,forklift 1,0.8889,,1,0.0,False,7.49
,EQUIPMENT,forklift,forklift 2,0.8889,,2,0.0,False,7.49
,ROOT_CAUSE_CATEGORY,Hazardous solids (exposure to / spill / loss of containment /pollution),Substances  - Hazardous liquids (exposure to / spill / loss of containment /pollution),0.879,,,1.0,False,7.414
,ORGANIZATION,FLEXI FRANCE,FlexiFrance,0.9565,,,1.0,False,7.352
,ROOT_CAUSE_CATEGORY,Stored energy (dropped objects),Mechanical - Stored energy (dropped objects),0.8267,,,1.0,False,7.324
,EQUIPMENT,forklift,fork lift,0.9412,,,1.0,False,7.238
,EQUIPMENT,forklift,fork-lift,0.9412,,,1.0,False,7.192
,EQUIPMENT,forklift,Forklift1,0.9412,,1,0.0,False,7.189
,EQUIPMENT,forklift,forkloift,0.9412,,,1.0,False,7.189
,LOCATION,Train 2,Train 3,0.8571,2,3,0.0,True,7.176
,LOCATION,Nusajaya Campus 2,Nusajaya Campus 1,0.9412,2,1,0.0,True,7.152
,LOCATION,Train 2,Train 1,0.8571,2,1,0.0,True,6.875
,ORGANIZATION,PETROBRAS,Petrobas,0.9412,,,1.0,False,6.848
,LOCATION,main deck,main deckAl,0.9,,,1.0,False,6.781
,ORGANIZATION,TECHNIP FMC,TFMC,0.9524,,,1.0,False,6.654
,EQUIPMENT,forklift,forklifts,1.0,,,1.0,False,6.609
,ORGANIZATION,TECHNIPFMC UMBILICALS LTD,Technip Umbilical,0.8947,,,1.0,False,6.592
,ORGANIZATION,TECHNIPFMC UMBILICALS LTD,TechnipFMC Umbilicals (TU) Ltd,0.8936,,,1.0,False,6.581
,LOCATION,Train 3,Train 1,0.8571,3,1,0.0,True,6.578
,ORGANIZATION,TFMC,TechnipFMC UK,0.8696,,,1.0,False,6.519
,LOCATION,floor,floors,0.9091,,,1.0,False,6.489
,LOCATION,floor,Flor,0.8889,,,1.0,False,6.469
,INJURY_TYPE,injuries,injures,0.9231,,,1.0,False,6.459
,EQUIPMENT,crane,cranes,1.0,,,1.0,False,6.436
,BODY_PART,left hand,hand,1.0,,,1.0,False,6.407
,ORGANIZATION,TFMC,Technip PMC,0.8571,,,1.0,False,6.394
,ORGANIZATION,Client,Cliente,0.9231,,,1.0,False,6.393
,LOCATION,main deck,maindeck,0.9412,,,1.0,False,6.369
,INJURY_TYPE,injuries,injuried,0.9333,,,1.0,False,6.357
,LOCATION,ground,grounds,0.9231,,,1.0,False,6.356
